text,label
We noticed suspicious activity in your SBI account. Share your card number now.,phishing
We noticed suspicious activity in your ICICI account. Share your OTP now.,phishing
Congratulations! You have won a iPhone. Send your PAN to claim.,phishing
Kindly provide your OTP to continue using your Axis account.,phishing
Update your Microsoft login immediately or access will be revoked.,phishing
Update your Netflix login immediately or access will be revoked.,phishing
You are eligible for a loan of ₹49691. Provide PAN to proceed.,phishing
"Dear user, your Google subscription will be cancelled. Confirm your Aadhaar number.",phishing
Urgent: Complete KYC for your ICICI account by sharing PIN.,phishing
Kindly provide your PAN to continue using your HDFC account.,phishing
Your card is blocked. Call +91-9988776655 and provide PAN to unblock.,phishing
This is the RBI. Pay ₹39104 to avoid penalties.,phishing
Congratulations! You have won a lottery. Send your PIN to claim.,phishing
Congratulations! You have won a car. Send your card number to claim.,phishing
Your card is blocked. Call +91-9876543210 and provide OTP to unblock.,phishing
Your SBI account has been suspended. Verify your PAN immediately.,phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your OTP.",phishing
You are eligible for a loan of ₹26993. Provide PIN to proceed.,phishing
Your card is blocked. Call +91-9123456780 and provide PAN to unblock.,phishing
Kindly provide your OTP to continue using your PNB account.,phishing
Congratulations! You have won a lottery. Send your PAN to claim.,phishing
Urgent: Complete KYC for your HDFC account by sharing Aadhaar number.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your PAN.",phishing
"Dear user, your Amazon subscription will be cancelled. Confirm your PAN.",phishing
Your card is blocked. Call +91-9876543210 and provide PIN to unblock.,phishing
You are eligible for a loan of ₹34581. Provide OTP to proceed.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
Your card is blocked. Call +91-9988776655 and provide Aadhaar number to unblock.,phishing
We noticed suspicious activity in your PNB account. Share your card number now.,phishing
We noticed suspicious activity in your ICICI account. Share your PAN now.,phishing
Congratulations! You have won a car. Send your PAN to claim.,phishing
Update your Paytm login immediately or access will be revoked.,phishing
We noticed suspicious activity in your Axis account. Share your PIN now.,phishing
You are eligible for a loan of ₹4697. Provide Aadhaar number to proceed.,phishing
Congratulations! You have won a gift card. Send your PIN to claim.,phishing
"Dear user, your Microsoft subscription will be cancelled. Confirm your Aadhaar number.",phishing
Your Axis account has been suspended. Verify your PAN immediately.,phishing
Urgent: Complete KYC for your HDFC account by sharing PIN.,phishing
We noticed suspicious activity in your PNB account. Share your OTP now.,phishing
We noticed suspicious activity in your ICICI account. Share your Aadhaar number now.,phishing
Congratulations! You have won a lottery. Send your PAN to claim.,phishing
We noticed suspicious activity in your HDFC account. Share your card number now.,phishing
"Dear user, your Paytm subscription will be cancelled. Confirm your card number.",phishing
Urgent: Complete KYC for your Axis account by sharing card number.,phishing
Kindly provide your card number to continue using your PNB account.,phishing
You are eligible for a loan of ₹49642. Provide OTP to proceed.,phishing
Your card is blocked. Call +91-9876543210 and provide PAN to unblock.,phishing
Your card is blocked. Call +91-9123456780 and provide OTP to unblock.,phishing
